# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_MRBM_1
#Generated on Thu Jan 14 13:24:41 2010
#loft_angle burn_time ground_range time_of_flight
88.3500 96.0600 360637.03 378.9395
88.3500 96.0800 361081.16 379.1005
88.3500 96.1000 361517.92 379.2616
88.3500 96.1200 361955.17 379.4227
88.3500 96.1400 362392.90 379.5840
88.3500 96.1600 362831.11 379.7454
88.3500 96.1800 363277.69 379.9068
88.3500 96.2000 363716.88 380.0684
88.3500 96.2200 364156.56 380.2300
88.3500 96.2400 364596.73 380.3918
88.3500 96.2600 365045.27 380.5536
88.3500 96.2800 365486.42 380.7155
88.3500 96.3000 365928.07 380.8775
88.3500 96.3200 366370.20 381.0396
88.3500 96.3400 366820.72 381.2018
88.3500 96.3600 367263.84 381.3641
88.3500 96.3800 367707.45 381.5265
88.3500 96.4000 368151.55 381.6890
88.3500 96.4200 368604.05 381.8516
88.3500 96.4400 369049.15 382.0142
88.3500 96.4600 369494.74 382.1770
88.3500 96.4800 369940.83 382.3398
88.3500 96.5000 370395.33 382.5028
88.3500 96.5200 370842.41 382.6658
88.3500 96.5400 371289.99 382.8289
88.3500 96.5600 371738.07 382.9922
88.3500 96.5800 372194.58 383.1555
88.3500 96.6000 372643.66 383.3189
88.3500 96.6200 373093.24 383.4824
88.3500 96.6400 373543.32 383.6460
88.3500 96.6600 374001.84 383.8097
88.3500 96.6800 374452.93 383.9735
88.3500 96.7000 374904.52 384.1374
88.3500 96.7200 375364.55 384.3014
88.3500 96.7400 375817.15 384.4655
88.3500 96.7600 376270.27 384.6296
88.3500 96.7800 376723.88 384.7939
88.3500 96.8000 377185.96 384.9583
88.3500 96.8200 377640.60 385.1227
88.3500 96.8400 378095.74 385.2873
88.3500 96.8600 378559.35 385.4519
88.3500 96.8800 379015.53 385.6167
88.3500 96.9000 379472.21 385.7816
88.3500 96.9200 379929.41 385.9465
88.3500 96.9400 380395.09 386.1115
88.3500 96.9600 380853.32 386.2767
88.3500 96.9800 381312.06 386.4419
88.3500 97.0000 381779.29 386.6073
88.3500 97.0200 382239.07 386.7727
88.3500 97.0400 382699.36 386.9382
88.3500 97.0600 383168.15 387.1039
88.3500 97.0800 383629.48 387.2696
88.3500 97.1000 384091.33 387.4354
88.3500 97.1200 384561.69 387.6014
88.3500 97.1400 385024.58 387.7674
88.3500 97.1600 385487.99 387.9335
88.3500 97.1800 385951.93 388.0997
88.3500 97.2000 386424.38 388.2661
88.3500 97.2200 386889.36 388.4325
88.3500 97.2400 387354.86 388.5990
88.3500 97.2600 387828.90 388.7656
88.3500 97.2800 388295.45 388.9323
88.3500 97.3000 388762.53 389.0991
88.3500 97.3200 389238.15 389.2661
88.3500 97.3400 389706.29 389.4331
88.3500 97.3600 390182.97 389.6002
88.3500 97.3800 390652.17 389.7674
88.3500 97.4000 391121.89 389.9347
